set,axis,stratum,unit,convention,n,n_pairs,n_solutes,n_solvents,n_sources,sources,top_source,top_source_share_of_stratum_squared_error,share_of_squared_error,mse,b_insuff_up,margin,P_boot,margin_ci90_lo,margin_ci90_hi,ci90_excludes_zero,test_a_boundable,loso_testable,loso_n_deletions,loso_n_undefined,loso_n_leaving_unboundable,loso_margin_min,loso_margin_max,loso_worst_source,loso_worst_margin,loso_worst_n_remaining,test_b_sign_survives_loso,test_b_strict_remainder_boundable,admissible_this_cell,admissible_this_cell_strict,cells_reported,cells_admissible,cells_admissible_strict,admissible_in_every_cell,admissible_in_every_cell_strict,direction,licenses,reason_not_admissible
broad_477,solute_family,aldehyde,pair,full,3,3,3,1,1,10.1016/j.fluid.2015.01.010,10.1016/j.fluid.2015.01.010,1.0,0.0068,0.7091,,,,,,,False,False,1,1,1,,,,,,False,False,False,False,4,0,0,False,False,no estimate,"nothing: reported in the map, not stated as a finding",not boundable: n=3 < 40; the fixed cell is undefined at n=3
broad_477,solute_family,aldehyde,pair,res,3,3,3,1,1,10.1016/j.fluid.2015.01.010,10.1016/j.fluid.2015.01.010,1.0,0.002,0.1912,,,,,,,False,False,1,1,1,,,,,,False,False,False,False,4,0,0,False,False,no estimate,"nothing: reported in the map, not stated as a finding",not boundable: n=3 < 40; the fixed cell is undefined at n=3
broad_477,solute_family,aldehyde,row,full,29,3,3,1,1,10.1016/j.fluid.2015.01.010,10.1016/j.fluid.2015.01.010,1.0,0.0308,0.9671,0.1444,0.6782,1.0,0.284,1.122,True,False,False,1,1,1,,,,,,False,False,False,False,4,0,0,False,False,positive,"nothing: reported in the map, not stated as a finding","not boundable: n=29 < 40; one source publication (10.1016/j.fluid.2015.01.010): leave-one-source-out cannot be run, so the sign was never tested"
broad_477,solute_family,aldehyde,row,res,29,3,3,1,1,10.1016/j.fluid.2015.01.010,10.1016/j.fluid.2015.01.010,1.0,0.0029,0.091,0.1444,-0.1979,0.44,-0.508,0.13,False,False,False,1,1,1,,,,,,False,False,False,False,4,0,0,False,False,non-positive,"nothing: reported in the map, not stated as a finding","not boundable: n=29 < 40; one source publication (10.1016/j.fluid.2015.01.010): leave-one-source-out cannot be run, so the sign was never tested"
broad_477,solute_family,alkane,pair,full,45,45,11,10,7,10.1016/j.fluid.2016.10.009|10.1016/j.jct.2015.12.034|10.1016/j.jct.2016.10.013|10.1016/j.jct.2018.05.003|10.1016/j.jct.2019.05.011|10.1016/j.tca.2015.11.010|10.1021/je020196d,10.1016/j.jct.2016.10.013,0.5557,0.3082,2.1276,0.5422,1.0431,0.983,0.376,2.673,True,True,True,7,0,4,0.8678,1.5561,10.1016/j.jct.2016.10.013,0.8678,29.0,True,False,True,False,4,4,2,True,False,positive,B_clos > 0 in this stratum: the closure's own error exceeds what input insufficiency can account for,
broad_477,solute_family,alkane,pair,res,45,45,11,10,7,10.1016/j.fluid.2016.10.009|10.1016/j.jct.2015.12.034|10.1016/j.jct.2016.10.013|10.1016/j.jct.2018.05.003|10.1016/j.jct.2019.05.011|10.1016/j.tca.2015.11.010|10.1021/je020196d,10.1016/j.jct.2016.10.013,0.5679,0.2962,1.8747,0.583,0.7088,0.939,-0.058,2.354,False,True,True,7,0,4,0.1322,0.9327,10.1021/je020196d,0.1322,37.0,True,False,True,False,4,4,2,True,False,positive,B_clos > 0 in this stratum: the closure's own error exceeds what input insufficiency can account for,
broad_477,solute_family,alkane,row,full,129,45,11,10,7,10.1016/j.fluid.2016.10.009|10.1016/j.jct.2015.12.034|10.1016/j.jct.2016.10.013|10.1016/j.jct.2018.05.003|10.1016/j.jct.2019.05.011|10.1016/j.tca.2015.11.010|10.1021/je020196d,10.1021/je020196d,0.4952,0.3526,2.4913,0.3868,1.7177,0.999,1.169,2.613,True,True,True,7,0,0,1.6847,2.009,10.1016/j.jct.2016.10.013,1.6847,81.0,True,True,True,True,4,4,2,True,False,positive,B_clos > 0 in this stratum: the closure's own error exceeds what input insufficiency can account for,
broad_477,solute_family,alkane,row,res,129,45,11,10,7,10.1016/j.fluid.2016.10.009|10.1016/j.jct.2015.12.034|10.1016/j.jct.2016.10.013|10.1016/j.jct.2018.05.003|10.1016/j.jct.2019.05.011|10.1016/j.tca.2015.11.010|10.1021/je020196d,10.1021/je020196d,0.5266,0.3292,2.3148,0.4673,1.3802,0.997,0.793,2.33,True,True,True,7,0,0,1.3879,1.6723,10.1021/je020196d,1.3879,69.0,True,True,True,True,4,4,2,True,False,positive,B_clos > 0 in this stratum: the closure's own error exceeds what input insufficiency can account for,
broad_477,solute_family,alkene,pair,full,16,16,7,5,4,10.1016/j.fluid.2016.10.009|10.1016/j.jct.2016.10.013|10.1016/j.jct.2018.05.003|10.1016/j.tca.2015.11.010,10.1016/j.jct.2016.10.013,0.9366,0.1182,2.2944,0.0709,2.1527,0.951,0.005,4.135,True,False,True,4,4,4,,,,,,False,False,False,False,4,0,0,False,False,positive,"nothing: reported in the map, not stated as a finding","not boundable: n=16 < 40; 4 of 4 deletions leave fewer than 16 rows and the fixed cell is then undefined (10.1016/j.fluid.2016.10.009, 10.1016/j.jct.2016.10.013, 10.1016/j.jct.2018.05.003, 10.1016/j.tca.2015.11.010), so the sign is not verifiable"
broad_477,solute_family,alkene,pair,res,16,16,7,5,4,10.1016/j.fluid.2016.10.009|10.1016/j.jct.2016.10.013|10.1016/j.jct.2018.05.003|10.1016/j.tca.2015.11.010,10.1016/j.jct.2016.10.013,0.9497,0.1091,1.943,0.0719,1.7991,0.94,-0.156,3.367,False,False,True,4,4,4,,,,,,False,False,False,False,4,0,0,False,False,positive,"nothing: reported in the map, not stated as a finding","not boundable: n=16 < 40; 4 of 4 deletions leave fewer than 16 rows and the fixed cell is then undefined (10.1016/j.fluid.2016.10.009, 10.1016/j.jct.2016.10.013, 10.1016/j.jct.2018.05.003, 10.1016/j.tca.2015.11.010), so the sign is not verifiable"
