tier,model,tex_model,split,n,mae_ln_x2,sd_mae_ln_x2,rmse_ln_x2,mae_logS,rmse_logS,r2_ln_x2,comparable_to
this work,"TGNN, COSMO-SAC closure, sigma head supervised (physics arm)","TGNN, COSMO-SAC closure, supervised $\hat\sigma$ (physics)",solute scaffold (this corpus),5608.0,1.8457231489714294,0.05345794497643314,2.4437988361657097,0.818189769414683,1.0785980220443985,0.32985565174813647,"each other (three seeds, one locked row set)"
this work,"TGNN, NRTL closure (physics arm)","TGNN, NRTL closure (physics)",solute scaffold (this corpus),5608.0,1.7949750799735205,0.07054762162251763,2.421963976916387,0.7915914209236181,1.0670403386243086,0.3421461675146898,"each other (three seeds, one locked row set)"
this work,"DirectGNN (same encoder, no closure) -- the control","DirectGNN, same encoder, no closure \emph{(control)}",solute scaffold (this corpus),5608.0,1.7021765850634498,0.03301382785693155,2.2713036168524563,0.7465710454600779,0.9950075195491713,0.421453459810423,"each other (three seeds, one locked row set)"
this work,"TGNN, COSMO-SAC with the reference sigma substituted at evaluation (seeds [42, 43] only)","TGNN, COSMO-SAC, reference $\sigma^\star$ substituted at evaluation [seeds $42,43$ only\tnote{$\ast$}]",solute scaffold (this corpus),5608.0,2.2564950718865937,0.024797356725350328,3.0635957193247556,1.0053309773027672,1.3547961127730197,-0.05192657056675487,"each other (three seeds, one locked row set)"
reference,predict the test-set mean of ln x2 (assumption-free scale),predict the test-set mean of $\lnx$,solute scaffold (this corpus),5608.0,2.32494158891005,,2.9871082226758108,,,0.0,the rows above; fixes the scale of ln x2
"external, re-run here","FastSolv, retrained on this corpus","FastSolv, retrained on this corpus",by-solute (this corpus),10287.0,1.940994069751364,,2.437832582250764,0.86935111788521,1.0966388135223386,0.2261558698385057,each other; NOT to the scaffold rows (different split)
"external, re-run here","SolProp cycle, released model + 3-parameter recalibration","SolProp cycle, released model + 3-parameter recalibration",by-solute (this corpus),10287.0,2.339706110225233,,3.0051897385670063,1.04459674158313,1.33809009119744,-0.1759518312756915,each other; NOT to the scaffold rows (different split)
"external, re-run here","SolProp cycle, released model, zero-shot","SolProp cycle, released model, zero-shot",by-solute (this corpus),10287.0,2.3610285292044515,,3.354780002670502,1.219100545060199,1.8655069300144884,-0.4654595298552957,each other; NOT to the scaffold rows (different split)
"external, re-run here","SolProp encoder retrained on ln x2, cycle discarded","SolProp encoder retrained on $\lnx$, cycle discarded",by-solute (this corpus),10570.0,1.624290219372559,,2.1576539603245415,0.7555001471854262,1.0690480220516807,0.3881256563398142,each other; NOT to the scaffold rows (different split)
"external, re-run here","FastSolv, retrained on this corpus","FastSolv, retrained on this corpus",pair_random (this corpus),10696.0,2.9101541551033816,,3.479058631368178,1.288733891915382,1.5440423428790448,-0.5937458800508215,each other; NOT to the scaffold rows (different split)
"external, re-run here","SolProp encoder retrained on ln x2, cycle discarded","SolProp encoder retrained on $\lnx$, cycle discarded",pair_random (this corpus),10887.0,0.6383925825089023,,0.974508639607208,0.2905033617096746,0.4519521688101463,0.8755408156717797,each other; NOT to the scaffold rows (different split)
"external, as published","fastsolv (solution-FASTPROP ensemble) [Attia, Burns, Doyle & Green, Nat. Commun. 2025, 16, 7497]",fastsolv (solution-FASTPROP ensemble) \cite{osanloo2024},SolProp test set (solutes disjoint from the training corpus),,,,,,0.83,,"nothing else in this table: different corpus, split and unit"
"external, as published","solution-CHEMPROP (companion model) [Attia, Burns, Doyle & Green, Nat. Commun. 2025, 16, 7497]",solution-CHEMPROP (companion model) \cite{osanloo2024},SolProp test set,,,,,,0.83,,"nothing else in this table: different corpus, split and unit"
"external, as published","SolProp (Vermeire et al. thermodynamic cycle) [as evaluated in Attia et al. 2025; model from Vermeire, Chung & Green, J. Am. Chem. Soc. 2022, 144, 10785]","SolProp (Vermeire et al. thermodynamic cycle) \cite{vermeire2022solprop}, scored in \cite{osanloo2024}",SolProp test set,,,,,,1.43,,"nothing else in this table: different corpus, split and unit"
"external, as published","fastsolv (solution-FASTPROP ensemble) [Attia, Burns, Doyle & Green, Nat. Commun. 2025, 16, 7497]",fastsolv (solution-FASTPROP ensemble) \cite{osanloo2024},"Leeds set (Boobier et al.), near room temperature",,,,,,0.95,,"nothing else in this table: different corpus, split and unit"
"external, as published","solution-CHEMPROP (companion model) [Attia, Burns, Doyle & Green, Nat. Commun. 2025, 16, 7497]",solution-CHEMPROP (companion model) \cite{osanloo2024},Leeds set,,,,,,0.99,,"nothing else in this table: different corpus, split and unit"
"external, as published",SolProp (Vermeire et al. thermodynamic cycle) [as evaluated in Attia et al. 2025],"SolProp (Vermeire et al. thermodynamic cycle) \cite{vermeire2022solprop}, scored in \cite{osanloo2024}",Leeds set,,,,,,2.16,,"nothing else in this table: different corpus, split and unit"
